abbr,name,lean_2000,lean_2004,lean_2008,lean_2012,lean_2016,lean_2020,lean_2024,ratioD_2000,ratioD_2004,ratioD_2008,ratioD_2012,ratioD_2016,ratioD_2020,ratioD_2024,ratioD_2028,normD_2000,normD_2004,normD_2008,normD_2012,normD_2016,normD_2020,normD_2024,normD_2028,normR_2000,normR_2004,normR_2008,normR_2012,normR_2016,normR_2020,normR_2024,normR_2028,lean_latest,ratio_latest,normD_2028
MD,Maryland,15.7,15.4,18.2,22.2,24.4,28.8,30.0,1.174,1.163,1.174,1.217,1.257,1.275,1.296,1.307,58.7,58.1,58.7,60.9,62.8,63.7,64.8,65.4,41.3,41.9,41.3,39.1,37.2,36.3,35.2,34.6,30.0,1.296,65.4
MA,Massachusetts,26.8,27.5,18.6,19.3,25.2,29.0,26.7,1.228,1.280,1.163,1.185,1.230,1.270,1.267,1.274,61.4,64.0,58.2,59.3,61.5,63.5,63.3,63.7,38.6,36.0,41.9,40.7,38.5,36.5,36.7,36.3,26.7,1.267,63.7
MI,Michigan,4.7,5.8,9.2,5.6,-2.2,-1.7,0.1,1.065,1.064,1.089,1.065,0.985,0.987,1.000,0.999,53.3,53.2,54.4,53.2,49.2,49.4,50.0,49.9,46.7,46.8,45.6,46.8,50.8,50.6,50.0,50.1,0.1,1.000,49.9
MN,Minnesota,1.9,5.9,3.1,3.8,-0.5,2.7,5.7,0.995,1.061,1.025,1.034,0.967,1.022,1.054,1.085,49.8,53.1,51.2,51.7,48.4,51.1,52.7,54.3,50.2,46.9,48.8,48.3,51.6,48.9,47.3,45.7,5.7,1.054,54.3
MS,Mississippi,-17.4,-17.3,-20.4,-15.4,-19.8,-21.0,-21.4,0.846,0.834,0.815,0.860,0.836,0.801,0.786,0.770,42.3,41.7,40.8,43.0,41.8,40.0,39.3,38.5,57.7,58.3,59.3,57.0,58.2,60.0,60.7,61.5,-21.4,0.786,38.5
MO,Missouri,-3.8,-4.8,-7.3,-13.3,-20.7,-19.8,-16.9,0.978,0.958,0.934,0.872,0.794,0.808,0.829,0.836,48.9,47.9,46.7,43.6,39.7,40.4,41.4,41.8,51.1,52.1,53.3,56.4,60.3,59.6,58.6,58.2,-16.9,0.829,41.8
MT,Montana,-25.5,-18.1,-9.4,-17.6,-22.6,-20.8,-18.5,0.693,0.801,0.896,0.819,0.748,0.791,0.796,0.799,34.7,40.1,44.8,40.9,37.4,39.6,39.8,40.0,65.3,59.9,55.2,59.1,62.6,60.4,60.2,60.0,-18.5,0.796,40.0
NE,Nebraska,-29.4,-30.8,-22.1,-25.7,-27.0,-23.6,-19.1,0.691,0.679,0.788,0.747,0.702,0.764,0.804,0.844,34.5,33.9,39.4,37.3,35.1,38.2,40.2,42.2,65.5,66.1,60.6,62.7,64.9,61.8,59.8,57.8,-19.1,0.804,42.2
NV,Nevada,-4.0,-0.2,5.2,2.8,0.4,-2.1,-1.6,0.954,0.995,1.045,1.028,0.998,0.976,0.983,0.978,47.7,49.7,52.3,51.4,49.9,48.8,49.2,48.9,52.3,50.3,47.7,48.6,50.1,51.2,50.9,51.1,-1.6,0.983,48.9
NH,New Hampshire,-1.8,3.7,2.5,1.6,-1.7,2.9,4.3,0.972,1.043,1.026,1.021,0.975,1.028,1.048,1.072,48.6,52.1,51.3,51.0,48.8,51.4,52.4,53.6,51.4,47.9,48.7,49.0,51.2,48.6,47.6,46.4,4.3,1.048,53.6
NJ,New Jersey,15.3,9.1,8.4,13.8,12.1,11.5,7.4,1.166,1.099,1.086,1.146,1.155,1.118,1.076,1.050,58.3,55.0,54.3,57.3,57.7,55.9,53.8,52.5,41.7,45.0,45.7,42.7,42.3,44.1,46.2,47.5,7.4,1.076,52.5
NM,New Mexico,-0.4,1.6,7.9,6.3,6.3,6.3,7.5,0.995,1.019,1.079,1.041,1.005,1.059,1.073,1.093,49.8,50.9,53.9,52.0,50.2,52.9,53.7,54.7,50.2,49.1,46.1,48.0,49.8,47.1,46.4,45.3,7.5,1.073,54.7
NY,New York,24.5,20.7,19.5,24.3,20.3,18.7,14.1,1.177,1.166,1.140,1.193,1.169,1.178,1.157,1.156,58.8,58.3,57.0,59.7,58.5,58.9,57.9,57.8,41.2,41.7,43.0,40.3,41.5,41.1,42.2,42.2,14.1,1.157,57.8
NC,North Carolina,-13.3,-10.0,-6.9,-5.9,-5.6,-5.8,-1.7,0.896,0.905,0.942,0.950,0.962,0.948,0.986,0.987,44.8,45.3,47.1,47.5,48.1,47.4,49.3,49.3,55.2,54.7,52.9,52.5,51.9,52.6,50.7,50.7,-1.7,0.986,49.3
ND,North Dakota,-28.1,-25.0,-15.9,-23.5,-37.8,-37.8,-35.0,0.687,0.738,0.846,0.760,0.567,0.620,0.631,0.634,34.3,36.9,42.3,38.0,28.4,31.0,31.6,31.7,65.7,63.1,57.7,62.0,71.6,69.0,68.5,68.3,-35.0,0.631,31.7
OH,Ohio,-4.1,0.3,-2.6,-0.9,-10.1,-12.5,-9.7,0.965,1.012,0.976,0.995,0.907,0.883,0.909,0.906,48.2,50.6,48.8,49.8,45.4,44.1,45.5,45.3,51.8,49.4,51.2,50.2,54.6,55.9,54.6,54.7,-9.7,0.909,45.3
OK,Oklahoma,-22.4,-28.8,-38.4,-37.5,-38.4,-37.5,-32.8,0.798,0.715,0.651,0.653,0.603,0.630,0.660,0.682,39.9,35.8,32.6,32.6,30.1,31.5,33.0,34.1,60.1,64.2,67.4,67.4,69.9,68.5,67.0,65.9,-32.8,0.660,34.1
OR,Oregon,0.0,6.5,9.1,8.2,9.0,11.6,15.8,0.976,1.067,1.076,1.065,1.043,1.101,1.144,1.185,48.8,53.3,53.8,53.3,52.1,55.1,57.2,59.2,51.2,46.7,46.2,46.7,47.9,44.9,42.8,40.8,15.8,1.144,59.2
PA,Pennsylvania,3.7,4.9,3.1,1.5,-2.7,-3.3,-0.2,1.051,1.058,1.033,1.023,0.997,0.976,1.007,1.007,52.6,52.9,51.6,51.1,49.8,48.8,50.3,50.3,47.4,47.1,48.4,48.9,50.2,51.2,49.7,49.7,-0.2,1.007,50.3
RI,Rhode Island,28.6,23.1,20.7,23.6,13.5,16.3,15.3,1.267,1.235,1.192,1.232,1.133,1.160,1.149,1.151,63.3,61.7,59.6,61.6,56.7,58.0,57.5,57.5,36.7,38.3,40.4,38.4,43.3,42.0,42.6,42.5,15.3,1.149,57.5
SC,South Carolina,-16.4,-14.7,-16.2,-14.4,-16.2,-16.1,-16.4,0.850,0.850,0.851,0.866,0.847,0.847,0.835,0.833,42.5,42.5,42.5,43.3,42.4,42.3,41.8,41.6,57.5,57.5,57.5,56.7,57.6,57.7,58.3,58.4,-16.4,0.835,41.6
SD,South Dakota,-23.2,-19.1,-15.7,-21.9,-31.8,-30.6,-27.7,0.780,0.799,0.848,0.783,0.661,0.695,0.709,0.714,39.0,39.9,42.4,39.2,33.1,34.7,35.4,35.7,61.0,60.1,57.6,60.9,66.9,65.3,64.6,64.3,-27.7,0.709,35.7
TN,Tennessee,-4.3,-11.9,-22.3,-24.3,-28.0,-27.7,-28.3,0.982,0.883,0.793,0.768,0.723,0.731,0.713,0.715,49.1,44.2,39.6,38.4,36.2,36.5,35.7,35.8,50.9,55.8,60.4,61.6,63.9,63.5,64.4,64.3,-28.3,0.713,35.8
TX,Texas,-21.8,-20.5,-19.0,-19.7,-11.0,-10.0,-12.2,0.789,0.794,0.828,0.813,0.901,0.907,0.879,0.879,39.5,39.7,41.4,40.6,45.0,45.3,44.0,43.9,60.6,60.3,58.6,59.4,55.0,54.7,56.1,56.1,-12.2,0.879,43.9
UT,Utah,-41.0,-43.1,-35.4,-52.0,-20.0,-24.9,-20.1,0.547,0.540,0.652,0.486,0.572,0.734,0.782,0.915,27.4,27.0,32.6,24.3,28.6,36.7,39.1,45.7,72.6,73.0,67.4,75.7,71.4,63.3,60.9,54.3,-20.1,0.782,45.7
VT,Vermont,9.4,22.5,29.9,31.7,24.4,31.0,33.0,1.052,1.224,1.279,1.308,1.161,1.277,1.321,1.380,52.6,61.2,63.9,65.4,58.0,63.8,66.1,69.0,47.4,38.8,36.1,34.6,42.0,36.2,34.0,31.0,33.0,1.321,69.0
VA,Virginia,-8.6,-5.8,-0.9,0.0,3.4,5.7,7.3,0.923,0.946,0.998,1.005,1.036,1.056,1.073,1.081,46.2,47.3,49.9,50.2,51.8,52.8,53.7,54.0,53.8,52.7,50.1,49.8,48.2,47.2,46.4,46.0,7.3,1.073,54.0
WA,Washington,5.1,9.6,10.0,11.0,14.2,14.8,19.7,1.042,1.097,1.093,1.103,1.094,1.131,1.184,1.217,52.1,54.9,54.6,55.2,54.7,56.5,59.2,60.9,47.9,45.1,45.4,44.8,45.3,43.5,40.8,39.1,19.7,1.184,60.9
WV,West Virginia,-6.8,-10.5,-20.3,-30.7,-44.1,-43.4,-40.4,0.947,0.898,0.807,0.698,0.551,0.579,0.582,0.590,47.4,44.9,40.4,34.9,27.6,29.0,29.1,29.5,52.6,55.1,59.6,65.1,72.4,71.0,70.9,70.5,-40.4,0.582,29.5
WI,Wisconsin,-0.3,2.8,6.7,3.0,-2.7,-3.8,0.6,0.994,1.033,1.066,1.037,0.968,0.965,1.009,1.010,49.7,51.6,53.3,51.8,48.4,48.2,50.4,50.5,50.3,48.4,46.7,48.2,51.6,51.8,49.6,49.5,0.6,1.009,50.5
WY,Wyoming,-40.6,-37.4,-39.2,-44.7,-48.3,-47.8,-44.3,0.588,0.603,0.616,0.543,0.451,0.515,0.535,0.566,29.4,30.1,30.8,27.1,22.5,25.7,26.8,28.3,70.6,69.9,69.2,72.9,77.5,74.3,73.3,71.7,-44.3,0.535,28.3
DC,District of Columbia,75.7,82.3,78.8,79.7,84.8,82.3,85.3,1.769,1.853,1.752,1.786,1.885,1.798,1.868,1.865,88.4,92.6,87.6,89.3,94.2,89.9,93.4,93.3,11.6,7.4,12.4,10.7,5.8,10.1,6.6,6.7,85.3,1.868,93.3
